station_id,name,lat,lng,trips_ended,trips_started,trips_total,fpct_started,fpct_ended,fpct_total
29,Noble St & Milwaukee Ave,41.90068,-87.6626,1517,1362,2879,0.2188,0.1958,0.2067
54,Ogden Ave & Chicago Ave,41.89636,-87.65406,1466,1390,2856,0.2727,0.2804,0.2767
157,Lake Shore Dr & Wellington Ave,41.93667,-87.63679,1525,1327,2852,0.2472,0.2498,0.2486
84,Green St & Milwaukee Ave,41.89173,-87.64873,1373,1461,2834,0.1992,0.1748,0.1874
194,State St & Wacker Dr,41.88715,-87.62775,1308,1512,2820,0.1931,0.1751,0.1848
108,Halsted St & Polk St,41.87184,-87.64664,1390,1406,2796,0.1871,0.2108,0.1989
118,Sedgwick St & North Ave,41.91058,-87.63862,1353,1432,2785,0.22,0.2276,0.2237
144,Larrabee St & Webster Ave,41.92175,-87.64401,1428,1353,2781,0.2786,0.2822,0.2804
61,Wood St & Milwaukee Ave,41.90765,-87.67255,1467,1312,2779,0.327,0.2897,0.3073
17,Wood St & Division St,41.90332,-87.67273,1451,1319,2770,0.2805,0.286,0.2834
114,Sheffield Ave & Addison St,41.94688,-87.65445,1394,1373,2767,0.2178,0.1937,0.2057
197,Michigan Ave & Madison St,41.88213,-87.62512,1165,1500,2665,0.1813,0.1751,0.1786
286,Franklin St & Quincy St,41.87872,-87.63479,1096,1516,2612,0.1695,0.125,0.1508
123,California Ave & Milwaukee Ave,41.9227,-87.69715,1364,1247,2611,0.2061,0.2177,0.2122
152,Lincoln Ave & Diversey Pkwy,41.93223,-87.65862,1244,1307,2551,0.2349,0.2098,0.2227
241,Morgan St & Polk St,41.87174,-87.65103,1303,1227,2530,0.1597,0.1865,0.1735
87,Racine Ave & Fullerton Ave,41.92556,-87.6584,1266,1248,2514,0.2748,0.2678,0.2713
57,Clinton St & Roosevelt Rd,41.86712,-87.64109,1331,1160,2491,0.2526,0.2817,0.2681
30,Ashland Ave & Augusta Blvd,41.89964,-87.6677,1259,1228,2487,0.3355,0.386,0.3611
240,Sheridan Rd & Irving Park Rd,41.95434,-87.6546,1136,1286,2422,0.1579,0.1461,0.1524
86,Eckhart Park,41.89637,-87.66098,1204,1114,2318,0.3429,0.3289,0.3356
106,State St & Pearson St,41.89745,-87.62872,1170,1138,2308,0.21,0.2026,0.2062
